"Date","Time","Open","High","Low","Close","Vol","OI"
09/14/2010,16:59,81.465,81.473,80.620,80.776,0,0
09/15/2010,16:59,80.783,83.536,80.690,83.520,0,0
09/16/2010,16:59,83.510,83.709,82.901,83.523,0,0
09/17/2010,16:59,83.525,84.055,82.760,83.080,0,0
09/20/2010,16:59,83.025,83.505,82.845,83.315,0,0
09/21/2010,16:59,83.325,83.335,82.590,82.843,0,0
09/22/2010,16:59,82.845,83.090,81.450,81.935,0,0
09/23/2010,16:59,81.959,82.229,81.196,81.549,0,0
09/24/2010,16:59,81.553,82.665,81.499,82.208,0,0
09/27/2010,16:59,82.191,82.415,81.785,81.864,0,0
09/28/2010,16:59,81.864,81.915,80.978,81.427,0,0
09/29/2010,16:59,81.423,81.800,80.870,81.031,0,0
09/30/2010,16:59,81.025,81.635,80.465,81.125,0,0
10/01/2010,16:59,81.110,81.818,80.795,81.578,0,0
10/04/2010,16:59,81.644,82.196,81.215,81.409,0,0
10/05/2010,16:59,81.450,82.105,81.375,81.892,0,0
10/06/2010,16:59,81.903,82.316,81.610,81.995,0,0
10/07/2010,16:59,81.981,82.160,80.700,80.952,0,0
10/08/2010,16:59,80.925,81.350,80.240,80.992,0,0
10/11/2010,16:59,81.095,81.241,80.497,80.916,0,0
10/12/2010,16:59,80.930,81.225,80.355,80.873,0,0
10/13/2010,16:59,80.884,81.711,80.835,81.507,0,0
10/14/2010,16:59,81.480,81.610,80.811,81.125,0,0
10/15/2010,16:59,81.125,81.205,80.315,80.600,0,0
10/18/2010,16:59,80.386,80.482,79.430,79.865,0,0
10/19/2010,16:59,79.870,79.965,78.733,78.905,0,0
10/20/2010,16:59,78.940,79.435,78.657,79.390,0,0
10/21/2010,16:59,79.400,79.695,78.881,79.190,0,0
10/22/2010,16:59,79.195,79.515,78.825,79.265,0,0
10/25/2010,16:59,79.228,79.417,78.885,79.220,0,0
10/26/2010,16:59,79.220,79.610,79.120,79.515,0,0
10/27/2010,16:59,79.536,79.795,78.921,79.500,0,0
10/28/2010,16:59,79.510,79.571,78.835,79.310,0,0
10/29/2010,16:59,79.310,79.507,78.700,78.831,0,0
11/01/2010,16:59,78.743,79.629,78.730,79.275,0,0
11/02/2010,16:59,79.305,80.145,79.145,79.950,0,0
11/03/2010,16:59,79.953,80.860,79.831,80.635,0,0
11/04/2010,16:59,80.625,80.786,80.081,80.555,0,0
11/05/2010,16:59,80.534,81.399,80.034,81.215,0,0
11/08/2010,16:59,81.164,81.258,80.631,80.870,0,0
11/09/2010,16:59,80.875,81.466,80.195,81.020,0,0
11/10/2010,16:59,81.017,82.545,80.894,82.176,0,0
11/11/2010,16:59,82.210,82.370,81.829,82.187,0,0
11/12/2010,16:59,82.194,82.255,80.597,81.492,0,0
11/15/2010,16:59,81.560,82.480,81.425,82.252,0,0
11/16/2010,16:59,82.260,82.595,81.327,81.457,0,0
11/17/2010,16:59,81.451,81.740,81.140,81.166,0,0
11/18/2010,16:59,81.158,82.250,81.158,81.930,0,0
11/19/2010,16:59,81.935,82.165,81.536,82.127,0,0
11/22/2010,16:59,82.105,82.425,81.630,81.786,0,0
11/23/2010,16:59,81.765,82.134,80.704,81.137,0,0
11/24/2010,16:59,81.156,82.715,81.135,82.692,0,0
11/25/2010,16:59,82.657,82.977,82.442,82.805,0,0
11/26/2010,16:59,82.790,83.112,81.708,82.278,0,0
11/29/2010,16:59,82.643,82.790,82.172,82.739,0,0
11/30/2010,16:59,82.735,82.759,81.110,81.519,0,0
12/01/2010,16:59,81.492,83.039,81.345,82.755,0,0
12/02/2010,16:59,82.740,83.701,82.510,83.571,0,0
12/03/2010,16:59,83.566,83.655,81.949,82.190,0,0
12/06/2010,16:59,82.338,82.595,82.019,82.175,0,0
12/07/2010,16:59,82.164,82.772,81.791,82.440,0,0
12/08/2010,16:59,82.475,83.460,82.442,83.069,0,0
12/09/2010,16:59,83.055,83.219,82.720,82.856,0,0
12/10/2010,16:59,82.835,83.192,82.571,83.150,0,0
12/13/2010,16:59,83.122,83.661,82.580,82.752,0,0
12/14/2010,16:59,82.770,83.250,82.280,83.125,0,0
12/15/2010,16:59,83.125,84.185,83.018,83.805,0,0
12/16/2010,16:59,83.835,83.985,83.345,83.379,0,0
12/17/2010,16:59,83.467,83.601,82.785,82.798,0,0
12/20/2010,16:59,82.884,83.035,81.978,82.365,0,0
12/21/2010,16:59,82.355,82.455,81.930,82.311,0,0
12/22/2010,16:59,82.280,82.526,82.023,82.436,0,0
